time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
8.699999999999999956e-01,1.997950974121782508e+01,4.997914081225607319e+00,4.997914081225930616e+00,-1.777481114500086001e-01,-2.610860847735070600e-02,-2.610860847388622730e-02
8.800000000000000044e-01,1.997916819219514295e+01,4.997871762225546632e+00,4.997871762225875258e+00,-1.782352392413311393e-01,-2.652825696599284133e-02,-2.652825696249045545e-02
8.900000000000000133e-01,1.997882664317246082e+01,4.997829443225485058e+00,4.997829443225819901e+00,-1.787223670326536784e-01,-2.694790545463496972e-02,-2.694790545109468360e-02
9.000000000000000222e-01,1.997848509414977869e+01,4.997787124225424371e+00,4.997787124225764543e+00,-1.792094948239762175e-01,-2.736755394327710506e-02,-2.736755393969891870e-02
9.100000000000000311e-01,1.997814354512709656e+01,4.997744805225362796e+00,4.997744805225710074e+00,-1.796966226152987567e-01,-2.778720243191923345e-02,-2.778720242830314685e-02
9.200000000000000400e-01,1.997780199610441798e+01,4.997702486225302110e+00,4.997702486225654717e+00,-1.801837504066213236e-01,-2.820685092056136878e-02,-2.820685091690737500e-02
9.300000000000000488e-01,1.997746044708173585e+01,4.997660167225240535e+00,4.997660167225599359e+00,-1.806708781979438627e-01,-2.862649940920350411e-02,-2.862649940551160316e-02
9.400000000000000577e-01,1.997711889805905372e+01,4.997617848225179848e+00,4.997617848225544002e+00,-1.811580059892664019e-01,-2.904614789784563250e-02,-2.904614789411583825e-02
9.500000000000000666e-01,1.997677734903637159e+01,4.997575529225118274e+00,4.997575529225489532e+00,-1.816451337805889410e-01,-2.946579638648776783e-02,-2.946579638272006640e-02
9.599999999999999645e-01,1.997643580001368946e+01,4.997533210225057587e+00,4.997533210225434175e+00,-1.821322615719114801e-01,-2.988544487512988929e-02,-2.988544487132429456e-02
9.699999999999999734e-01,1.997609425099101088e+01,4.997490891224996012e+00,4.997490891225378817e+00,-1.826193893632340193e-01,-3.030509336377202462e-02,-3.030509335992852271e-02
9.799999999999999822e-01,1.997575270196832875e+01,4.997448572224935326e+00,4.997448572225323460e+00,-1.831065171545565584e-01,-3.072474185241415995e-02,-3.072474184853275087e-02
9.899999999999999911e-01,1.997541115294564662e+01,4.997406253224873751e+00,4.997406253225268991e+00,-1.835936449458790976e-01,-3.114439034105628834e-02,-3.114439033713697902e-02
1.000000000000000000e+00,1.997506960392296449e+01,4.997363934224813065e+00,4.997363934225213633e+00,-1.840807727372016367e-01,-3.156403882969842367e-02,-3.156403882574121411e-02
1.010000000000000009e+00,1.997471669823532281e+01,4.997315189954798953e+00,4.997315189955205739e+00,-1.846394804154148084e-01,-3.197818731766226275e-02,-3.197818731367418899e-02
1.020000000000000018e+00,1.997430402062682475e+01,4.997232628474506555e+00,4.997232628474921334e+00,-1.855749243404207771e-01,-3.236338843363512074e-02,-3.236338842965320178e-02
1.030000000000000027e+00,1.997389134301832669e+01,4.997150066994215045e+00,4.997150066994636930e+00,-1.865103682654267181e-01,-3.274858954960797180e-02,-3.274858954563222152e-02
1.040000000000000036e+00,1.997347866540982864e+01,4.997067505513922647e+00,4.997067505514352526e+00,-1.874458121904326868e-01,-3.313379066558082287e-02,-3.313379066161123432e-02
1.050000000000000044e+00,1.997306598780133058e+01,4.996984944033631137e+00,4.996984944034069009e+00,-1.883812561154386278e-01,-3.351899178155367393e-02,-3.351899177759024712e-02
1.060000000000000053e+00,1.997265331019283252e+01,4.996902382553338740e+00,4.996902382553784605e+00,-1.893167000404445688e-01,-3.390419289752652499e-02,-3.390419289356925991e-02
1.070000000000000062e+00,1.997224063258433446e+01,4.996819821073047230e+00,4.996819821073500201e+00,-1.902521439654505375e-01,-3.428939401349937605e-02,-3.428939400954827271e-02
1.080000000000000071e+00,1.997182795497583641e+01,4.996737259592755720e+00,4.996737259593215796e+00,-1.911875878904564785e-01,-3.467459512947222711e-02,-3.467459512552728551e-02
1.090000000000000080e+00,1.997141527736733835e+01,4.996654698112463322e+00,4.996654698112931392e+00,-1.921230318154624195e-01,-3.505979624544507817e-02,-3.505979624150630525e-02
1.100000000000000089e+00,1.997100259975884029e+01,4.996572136632171812e+00,4.996572136632646988e+00,-1.930584757404683882e-01,-3.544499736141792923e-02,-3.544499735748531805e-02
1.110000000000000098e+00,1.997058992215034223e+01,4.996489575151879414e+00,4.996489575152362583e+00,-1.939939196654743292e-01,-3.583019847739078029e-02,-3.583019847346433084e-02
1.120000000000000107e+00,1.997017724454184417e+01,4.996407013671587904e+00,4.996407013672079067e+00,-1.949293635904802702e-01,-3.621539959336363135e-02,-3.621539958944334364e-02
1.130000000000000115e+00,1.996976456693334612e+01,4.996324452191295507e+00,4.996324452191794663e+00,-1.958648075154862389e-01,-3.660060070933648241e-02,-3.660060070542235644e-02
1.140000000000000124e+00,1.996935188932484806e+01,4.996241890711003997e+00,4.996241890711510258e+00,-1.968002514404921799e-01,-3.698580182530933347e-02,-3.698580182140137618e-02
