time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0.38,19.993973339970804,4.999594605063052,4.99959460506313,-0.12053320058386781,-0.008107898739050903,-0.008107898737484758,-0.9013027084925564,-0.16215797478160737,-0.16215797475028457
0.39,19.993814743654248,4.999583936775238,4.999583936775318,-0.12370512691502053,-0.00832126449534216,-0.008321264493734801,-0.8467294118049917,-0.16642528990743918,-0.16642528987529207
0.4,19.99365614733769,4.999573268487423,4.999573268487505,-0.12687705324617324,-0.008534630251633415,-0.008534630249984843,-0.7921561151174275,-0.17069260503327097,-0.1706926050002996
0.41000000000000003,19.993497551021132,4.999562600199609,4.999562600199693,-0.13004897957732597,-0.008747996007924672,-0.008747996006234885,-0.7375828184298632,-0.17495992015910278,-0.17495992012530712
0.42,19.993338954704573,4.999551931911794,4.99955193191188,-0.13322090590847868,-0.008961361764215928,-0.008961361762484927,-0.6830095217422993,-0.17922723528493453,-0.1792272352503146
0.43,19.993180358388017,4.99954126362398,4.999541263624068,-0.13639283223963142,-0.009174727520507185,-0.009174727518734969,-0.6284362250547351,-0.18349455041076634,-0.1834945503753221
0.44,19.993021762071457,4.999530595336165,4.999530595336256,-0.13956475857078413,-0.009388093276798442,-0.009388093274985012,-0.5738629283671703,-0.18776186553659815,-0.1877618655003296
0.45,19.9928631657549,4.999519927048351,4.999519927048443,-0.14273668490193686,-0.009601459033089699,-0.009601459031235054,-0.5192896316796061,-0.19202918066242994,-0.19202918062533714
0.46,19.99270456943834,4.999509258760536,4.9995092587606305,-0.1459086112330896,-0.009814824789380956,-0.009814824787485096,-0.4647163349920418,-0.19629649578826175,-0.19629649575034466
0.47000000000000003,19.992545973121786,4.999498590472722,4.999498590472818,-0.14908053756424233,-0.010028190545672212,-0.01002819054373514,-0.4101430383044775,-0.20056381091409353,-0.20056381087535216
0.48,19.992387376805226,4.999487922184907,4.999487922185006,-0.15225246389539504,-0.010241556301963467,-0.01024155629998518,-0.35556974161691324,-0.20483112603992532,-0.20483112600035966
0.49,19.99222878048867,4.999477253897093,4.999477253897194,-0.15542439022654775,-0.010454922058254724,-0.010454922056235223,-0.30099644492934896,-0.2090984411657571,-0.20909844112536716
0.5,19.99207018417211,4.999466585609278,4.999466585609381,-0.15859631655770048,-0.010668287814545981,-0.010668287812485265,-0.24642314824178468,-0.2133657562915889,-0.21336575625037468
0.51,19.991805506034357,4.999437565227809,4.9994375652279155,-0.16021151096239705,-0.011001262886233964,-0.011001262884133955,-0.22400189321739866,-0.21507660657102923,-0.215076606529985
0.52,19.991463957011675,4.999395246227747,4.99939524622786,-0.1606986387537196,-0.011420911374876096,-0.011420911372738185,-0.22487921910835929,-0.21493494609221483,-0.21493494605206112
0.53,19.991122407988993,4.999352927227687,4.999352927227805,-0.16118576654504216,-0.011840559863518228,-0.011840559861342415,-0.22575654499931994,-0.21479328561340044,-0.21479328557413727
0.54,19.99078085896631,4.999310608227625,4.999310608227749,-0.1616728943363647,-0.01226020835216036,-0.012260208349946646,-0.22663387089028056,-0.21465162513458605,-0.21465162509621338
0.55,19.990439309943632,4.999268289227564,4.999268289227695,-0.16216002212768724,-0.012679856840802493,-0.012679856838550876,-0.2275111967812412,-0.21450996465577166,-0.21450996461828953
0.56,19.99009776092095,4.999225970227503,4.99922597022764,-0.16264714991900978,-0.013099505329444625,-0.013099505327155106,-0.22838852267220183,-0.21436830417695726,-0.21436830414036565
0.5700000000000001,19.989756211898268,4.999183651227442,4.999183651227584,-0.16313427771033231,-0.013519153818086757,-0.013519153815759336,-0.22926584856316246,-0.21422664369814287,-0.2142266436624418
0.58,19.989414662875586,4.9991413322273806,4.999141332227529,-0.16362140550165485,-0.013938802306728884,-0.01393880230436356,-0.23014317445412308,-0.21408498321932848,-0.21408498318451794
0.59,19.989073113852903,4.99909901322732,4.999099013227474,-0.1641085332929774,-0.014358450795371017,-0.01435845079296779,-0.23102050034508373,-0.21394332274051409,-0.21394332270659405
0.6,19.988731564830225,4.999056694227258,4.999056694227419,-0.16459566108429993,-0.01477809928401315,-0.014778099281572022,-0.23189782623604435,-0.2138016622616997,-0.2138016622286702
0.61,19.988390015807543,4.999014375227198,4.999014375227364,-0.1650827888756225,-0.015197747772655281,-0.01519774777017625,-0.23277515212700498,-0.2136600017828853,-0.21366000175074631
0.62,19.98804846678486,4.998972056227136,4.998972056227308,-0.16556991666694504,-0.015617396261297413,-0.015617396258780482,-0.23365247801796563,-0.2135183413040709,-0.21351834127282246
0.63,19.98770691776218,4.998929737227075,4.998929737227254,-0.16605704445826758,-0.016037044749939545,-0.01603704474738471,-0.23452980390892625,-0.21337668082525652,-0.21337668079489858
0.64,19.987365368739496,4.998887418227014,4.9988874182271985,-0.16654417224959012,-0.016456693238581677,-0.01645669323598894,-0.23540712979988687,-0.21323502034644212,-0.21323502031697472
0.65,19.987023819716814,4.998845099226953,4.998845099227143,-0.16703130004091266,-0.01687634172722381,-0.016876341724593173,-0.23628445569084752,-0.21309335986762773,-0.21309335983905087
0.66,19.986682270694136,4.9988027802268915,4.998802780227088,-0.1675184278322352,-0.01729599021586594,-0.0172959902131974,-0.23716178158180815,-0.21295169938881334,-0.21295169936112698
0.67,19.986340721671453,4.998760461226831,4.998760461227033,-0.16800555562355773,-0.017715638704508076,-0.017715638701801633,-0.23803910747276877,-0.21281003890999894,-0.21281003888320313
0.68,19.98599917264877,4.998718142226769,4.998718142226978,-0.1684926834148803,-0.018135287193150204,-0.01813528719040586,-0.23891643336372942,-0.21266837843118455,-0.21266837840527925
0.6900000000000001,19.98565762362609,4.998675823226708,4.998675823226923,-0.16897981120620284,-0.01855493568179234,-0.018554935679010093,-0.23979375925469004,-0.21252671795237016,-0.2125267179273554
0.7000000000000001,19.985316074603407,4.998633504226647,4.998633504226867,-0.16946693899752538,-0.018974584170434468,-0.01897458416761432,-0.24067108514565067,-0.21238505747355577,-0.2123850574494315
